4;2;1;0.74
8;2;1;0.35
4;2;2;0.68
8;2;2;0.35
4;2;3;0.68
8;2;3;0.40
4;2;4;0.68
8;2;4;0.40
4;2;5;0.68
8;2;5;0.35
4;2;6;0.74
8;2;6;0.35
4;2;7;0.68
8;2;7;0.35
4;2;8;0.68
8;2;8;0.35
4;4;1;2.30
8;4;1;1.21
4;4;2;2.27
8;4;2;1.22
4;4;3;2.24
8;4;3;1.20
4;4;4;2.26
8;4;4;1.19
4;4;5;2.26
8;4;5;1.19
4;4;6;2.34
8;4;6;1.16
4;4;7;2.32
8;4;7;1.16
4;4;8;2.31
8;4;8;1.15
4;6;1;4.73
8;6;1;2.47
4;6;2;4.87
8;6;2;2.50
4;6;3;4.77
8;6;3;2.46
4;6;4;4.82
8;6;4;2.50
4;6;5;4.78
8;6;5;2.52
4;6;6;4.81
8;6;6;2.47
4;6;7;4.80
8;6;7;2.49
4;6;8;4.81
8;6;8;2.43
4;8;1;8.45
8;8;1;4.34
4;8;2;8.55
8;8;2;4.34
4;8;3;8.49
8;8;3;4.38
4;8;4;8.50
8;8;4;4.35
4;8;5;8.54
8;8;5;4.35
4;8;6;8.52
8;8;6;4.34
4;8;7;8.49
8;8;7;4.37
4;8;8;8.53
8;8;8;4.35
4;10;1;13.30
8;10;1;6.77
4;10;2;13.27
8;10;2;6.81
4;10;3;13.23
8;10;3;6.83
4;10;4;13.25
8;10;4;6.83
4;10;5;13.25
8;10;5;6.81
4;10;6;13.20
8;10;6;6.75
4;10;7;13.24
8;10;7;6.79
4;10;8;13.31
8;10;8;6.77
4;12;1;19.10
8;12;1;9.76
4;12;2;19.10
8;12;2;9.79
4;12;3;19.09
8;12;3;9.75
4;12;4;19.05
8;12;4;9.77
4;12;5;19.15
8;12;5;9.79
4;12;6;19.03
8;12;6;9.75
4;12;7;18.94
8;12;7;9.72
4;12;8;19.11
8;12;8;9.74
4;14;1;25.97
8;14;1;13.39
4;14;2;25.92
8;14;2;13.30
4;14;3;25.94
8;14;3;13.25
4;14;4;25.98
8;14;4;13.32
4;14;5;25.97
8;14;5;13.29
4;14;6;25.83
8;14;6;13.35
4;14;7;25.83
8;14;7;13.26
4;14;8;26.01
8;14;8;13.24
4;16;1;33.92
8;16;1;17.37
4;16;2;33.95
8;16;2;17.36
4;16;3;33.88
8;16;3;17.32
4;16;4;33.95
8;16;4;17.37
4;16;5;33.94
8;16;5;17.40
4;16;6;33.82
8;16;6;17.32
4;16;7;33.78
8;16;7;17.30
4;16;8;33.94
8;16;8;17.27
4;18;1;42.94
8;18;1;21.96
4;18;2;42.95
8;18;2;21.95
4;18;3;42.91
8;18;3;21.84
4;18;4;42.92
8;18;4;21.93
4;18;5;42.93
8;18;5;21.98
